ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
770,200,-12,2,0,200,10,80,20,800,400,20,12,30
770,200,-12,2,0,220,10,80,20,800,400,20,12,30
758,202,-12,2,0,240,10,80,20,800,400,20,12,30
746,204,-12,2,0,260,10,80,20,800,400,20,12,30
734,206,-12,2,0,280,10,80,20,800,400,20,12,30
722,208,-12,2,0,300,10,80,20,800,400,20,12,30
710,210,-12,2,0,320,10,80,20,800,400,20,12,30
698,212,-12,2,0,340,10,80,20,800,400,20,12,30
686,214,-12,2,0,340,10,80,20,800,400,20,12,30
674,216,-12,2,0,340,10,80,20,800,400,20,12,30
662,218,-12,2,0,340,10,80,20,800,400,20,12,30
650,220,-12,2,0,340,10,80,20,800,400,20,12,30
638,222,-12,2,0,340,10,80,20,800,400,20,12,30
626,224,-12,2,0,340,10,80,20,800,400,20,12,30
614,226,-12,2,0,340,10,80,20,800,400,20,12,30
602,228,-12,2,0,340,10,80,20,800,400,20,12,30
590,230,-12,2,0,340,10,80,20,800,400,20,12,30
578,232,-12,2,0,340,10,80,20,800,400,20,12,30
566,234,-12,2,0,340,10,80,20,800,400,20,12,30
554,236,-12,2,0,340,10,80,20,800,400,20,12,30
542,238,-12,2,0,340,10,80,20,800,400,20,12,30
530,240,-12,2,0,340,10,80,20,800,400,20,12,30
518,242,-12,2,0,340,10,80,20,800,400,20,12,30
506,244,-12,2,0,340,10,80,20,800,400,20,12,30
494,246,-12,2,0,340,10,80,20,800,400,20,12,30
482,248,-12,2,0,340,10,80,20,800,400,20,12,30
470,250,-12,2,0,340,10,80,20,800,400,20,12,30
458,252,-12,2,0,340,10,80,20,800,400,20,12,30
446,254,-12,2,0,340,10,80,20,800,400,20,12,30
434,256,-12,2,0,340,10,80,20,800,400,20,12,30
422,258,-12,2,0,340,10,80,20,800,400,20,12,30
410,260,-12,2,0,340,10,80,20,800,400,20,12,30
398,262,-12,2,0,340,10,80,20,800,400,20,12,30
386,264,-12,2,0,340,10,80,20,800,400,20,12,30
374,266,-12,2,0,340,10,80,20,800,400,20,12,30
362,268,-12,2,0,340,10,80,20,800,400,20,12,30
350,270,-12,2,0,340,10,80,20,800,400,20,12,30
338,272,-12,2,0,340,10,80,20,800,400,20,12,30
326,274,-12,2,0,340,10,80,20,800,400,20,12,30
314,276,-12,2,0,340,10,80,20,800,400,20,12,30
302,278,-12,2,0,340,10,80,20,800,400,20,12,30
290,280,-12,2,0,340,10,80,20,800,400,20,12,30
278,282,-12,2,0,340,10,80,20,800,400,20,12,30
266,284,-12,2,0,340,10,80,20,800,400,20,12,30
254,286,-12,2,0,340,10,80,20,800,400,20,12,30
242,288,-12,2,0,340,10,80,20,800,400,20,12,30
230,290,-12,2,0,340,10,80,20,800,400,20,12,30
218,292,-12,2,0,340,10,80,20,800,400,20,12,30
206,294,-12,2,0,340,10,80,20,800,400,20,12,30
194,296,-12,2,0,340,10,80,20,800,400,20,12,30
182,298,-12,2,0,340,10,80,20,800,400,20,12,30
170,300,-12,2,0,340,10,80,20,800,400,20,12,30
158,302,-12,2,0,340,10,80,20,800,400,20,12,30
146,304,-12,2,0,340,10,80,20,800,400,20,12,30
134,306,-12,2,0,340,10,80,20,800,400,20,12,30
122,308,-12,2,0,340,10,80,20,800,400,20,12,30
110,310,-12,2,0,340,10,80,20,800,400,20,12,30
98,312,-12,2,0,340,10,80,20,800,400,20,12,30
86,314,-12,2,0,340,10,80,20,800,400,20,12,30
74,316,-12,2,0,340,10,80,20,800,400,20,12,30
62,318,-12,2,0,340,10,80,20,800,400,20,12,30
50,320,-12,2,0,340,10,80,20,800,400,20,12,30
38,322,-12,2,0,340,10,80,20,800,400,20,12,30
50,324,12,2,0,340,10,80,20,800,400,20,12,30
62,326,12,2,0,340,10,80,20,800,400,20,12,30
74,328,12,2,0,340,10,80,20,800,400,20,12,30
86,330,12,2,0,340,10,80,20,800,400,20,12,30
